1305031229.896928630, 0, 0, 0,    0, 0, 0, 1
1305031230.397264993, 23, 0, 0,    0, 0, 0, 0
1305031230.897379060, 23, 0, 0,    0, 0, 0, 0
1305031231.397127567, 23, 0, 0,    0, 0, 0, 0
1305031231.893726740, 0.0704947, 0.00986467, 0.0520687,    -0.0329206, -0.197989, -0.00243391, 0.979648
1305031232.393714361, 23, 0, 0,    0, 0, 0, 0
1305031232.893683048, 23, 0, 0,    0, 0, 0, 0
1305031233.393684803, 23, 0, 0,    0, 0, 0, 0
1305031233.893718313, 23, 0, 0,    0, 0, 0, 0
1305031234.393722984, 23, 0, 0,    0, 0, 0, 0
1305031234.893759974, 23, 0, 0,    0, 0, 0, 0
1305031235.393685539, 23, 0, 0,    0, 0, 0, 0
1305031235.893697514, 23, 0, 0,    0, 0, 0, 0
1305031236.393684747, 23, 0, 0,    0, 0, 0, 0
1305031236.893504961, 23, 0, 0,    0, 0, 0, 0
1305031237.393670854, 23, 0, 0,    0, 0, 0, 0
1305031237.893770901, 23, 0, 0,    0, 0, 0, 0
1305031238.393666874, 23, 0, 0,    0, 0, 0, 0
1305031238.893734102, 23, 0, 0,    0, 0, 0, 0
1305031239.393717714, 23, 0, 0,    0, 0, 0, 0
1305031239.893740501, 23, 0, 0,    0, 0, 0, 0
1305031240.393695348, 23, 0, 0,    0, 0, 0, 0
1305031240.893685353, 23, 0, 0,    0, 0, 0, 0
1305031241.393718594, -0.0319637, 0.0693496, -0.0155865,    -0.0114065, -0.148415, 0.0295892, 0.988417
1305031241.893622070, -0.0298291, 0.0504746, 0.00986853,    -0.0153677, -0.172178, -0.0117847, 0.984875
1305031242.393679149, -0.0519121, 0.0222941, -0.00201623,    -0.0114064, -0.145699, -0.273874, 0.950597
1305031242.893679131, -0.0854042, 0.0562241, -0.030113,    0.0195867, -0.129126, -0.592226, 0.795117
1305031243.393707464, -0.17183, 0.0620729, -0.033528,    0.00234055, -0.103268, -0.559938, 0.82207
1305031243.897688713, -0.159915, 0.0458596, -0.0214132,    0.11067, -0.101734, -0.147166, 0.977622
1305031244.397614602, -0.0487152, 0.0985849, 0.00301467,    0.123763, -0.131882, 0.226032, 0.957183
1305031244.897635181, -0.0175682, 0.136857, 0.030187,    0.0851945, -0.128247, 0.493502, 0.856009
1305031245.397664061, -0.0114241, 0.109213, 0.0123808,    0.133729, -0.157132, 0.304096, 0.930028
1305031245.897684137, -0.0340154, 0.104869, -0.0267153,    0.104723, -0.0976919, -0.0557608, 0.988119
1305031246.397738536, -0.0758315, 0.0553853, -0.0339462,    0.103423, -0.0793478, -0.440719, 0.88813
1305031246.897619353, -0.127809, 0.109612, -0.0456682,    0.114144, -0.0835737, -0.749574, 0.646626
1305031247.397540271, -0.203321, 0.140928, -0.0728813,    0.0425968, -0.0892812, -0.787664, 0.608112
1305031247.897638070, -0.207168, 0.0974916, -0.0597885,    0.11481, -0.1258, -0.41004, 0.896025
1305031248.398305703, -0.100959, 0.0972315, -0.0961418,    0.204053, -0.13563, -0.027769, 0.969121
1305031248.897740351, -0.0488519, 0.14702, -0.103669,    0.232196, -0.0954508, 0.249634, 0.935231
1305031249.397736980, -0.00497904, 0.145441, -0.0499978,    0.200638, -0.120891, 0.345846, 0.908581
1305031249.897548437, -0.0116031, 0.0979389, -0.0843312,    0.166507, 0.00342124, -0.0836526, 0.982479
1305031250.397784311, -0.0687644, 0.0777582, -0.0547907,    0.142577, 0.00670234, -0.449456, 0.881826
1305031250.897603718, -0.126231, 0.0914061, -0.0274106,    0.0949899, 0.0133658, -0.627205, 0.772925
1305031251.397736036, -0.136617, 0.0643058, -0.0588474,    0.149993, -0.0444507, -0.335711, 0.928883
1305031251.897872989, -0.0886788, 0.0780021, -0.0693,    0.184245, -0.193473, 0.141755, 0.953167
1305031252.397494293, -0.0361665, 0.140232, -0.0525887,    0.129554, -0.193342, 0.468887, 0.852044
1305031252.897596855, -0.0404387, 0.129748, -0.0477653,    0.157436, -0.130751, 0.304669, 0.930212
